charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Papaya, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 43.00, KCAL, 
"Fat", 0.26, G, 0%
"Protein", 0.47, G, 1%
"Carbohydrate", 10.82, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 88.06, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 7.82, G, 
"Fiber", 1.7, G, 6%
"Calcium, Ca", 20.00, MG, 2%
"Iron, Fe", 0.25, MG, 1%
"Magnesium, Mg", 21.00, MG, 5%
"Phosphorus, P", 10.00, MG, 1%
"Potassium, K", 182.00, MG, 4%
"Sodium, Na", 8.00, MG, 0%
"Zinc, Zn", 0.08, MG, 1%
"Copper, Cu", 0.045, MG, 5%
"Selenium, Se", 0.6, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 47.00, UG, 5%
"Carotene, beta", 274.00, UG, 
"Carotene, alpha", 2.00, UG, 
"Vitamin E", 0.30, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 589.00, UG, 
"Lycopene", 1828.00, UG, 
"Lutein + zeaxanthin", 89.00, UG, 
"Vitamin C", 60.9, MG, 68%
"Thiamin", 0.023, MG, 2%
"Riboflavin", 0.027, MG, 2%
"Niacin", 0.357, MG, 2%
"Vitamin B6", 0.038, MG, 3%
"Folate", 37.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.1, MG, 
"Vitamin K", 2.6, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 37.00, UG, 
"Folate, DFE", 37.00, UG, 9%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.081, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.002, G, 
"Tetradecanoic acid", 0.013, G, 
"Hexadecanoic acid", 0.060, G, 
"Octadecanoic acid", 0.004, G, 
"Octadecenoic acid", 0.034, G, 
"Octadecadienoic acid", 0.011, G, 
"Octadecatrienoic acid", 0.047, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.038, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.072, G, 
"Polyunsaturated fatty acids", 0.058, G, 
"Tocopherol, alpha", 0.30, MG, 
"Net carbs", 9.12, g, 
# Downloaded from https://www.nutritionvalue.org 
