charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Peach, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 42.00, KCAL, 
"Fat", 0.27, G, 0%
"Protein", 0.91, G, 2%
"Carbohydrate", 10.10, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 88.30, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 8.39, G, 
"Fiber", 1.5, G, 5%
"Calcium, Ca", 4.00, MG, 0%
"Iron, Fe", 0.34, MG, 2%
"Magnesium, Mg", 8.00, MG, 2%
"Phosphorus, P", 22.00, MG, 3%
"Potassium, K", 122.00, MG, 3%
"Sodium, Na", 13.00, MG, 1%
"Zinc, Zn", 0.23, MG, 2%
"Copper, Cu", 0.078, MG, 9%
"Selenium, Se", 2.1, UG, 4%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 24.00, UG, 3%
"Carotene, beta", 224.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.73, MG, 3%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 117.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 132.00, UG, 
"Vitamin C", 4.1, MG, 5%
"Thiamin", 0.024, MG, 2%
"Riboflavin", 0.031, MG, 2%
"Niacin", 0.806, MG, 5%
"Vitamin B6", 0.025, MG, 2%
"Folate", 6.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.1, MG, 
"Vitamin K", 3.0, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 6.00, UG, 
"Folate, DFE", 6.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.019, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.017, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.065, G, 
"Octadecadienoic acid", 0.084, G, 
"Octadecatrienoic acid", 0.002, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.002, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.067, G, 
"Polyunsaturated fatty acids", 0.086, G, 
"Tocopherol, alpha", 0.73, MG, 
"Net carbs", 8.6, g, 
# Downloaded from https://www.nutritionvalue.org 
