charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Persimmon, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 70.00, KCAL, 
"Fat", 0.19, G, 0%
"Protein", 0.58, G, 1%
"Carbohydrate", 18.59, G, 7%
"Alcohol, ethyl", 0.0, G, 
"Water", 80.32, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 12.53, G, 
"Fiber", 3.6, G, 13%
"Calcium, Ca", 8.00, MG, 1%
"Iron, Fe", 0.15, MG, 1%
"Magnesium, Mg", 9.00, MG, 2%
"Phosphorus, P", 17.00, MG, 2%
"Potassium, K", 161.00, MG, 3%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.11, MG, 1%
"Copper, Cu", 0.113, MG, 13%
"Selenium, Se", 0.6, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 81.00, UG, 9%
"Carotene, beta", 253.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.73, MG, 3%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 1447.00, UG, 
"Lycopene", 159.00, UG, 
"Lutein + zeaxanthin", 834.00, UG, 
"Vitamin C", 7.5, MG, 8%
"Thiamin", 0.030, MG, 2%
"Riboflavin", 0.020, MG, 2%
"Niacin", 0.100, MG, 1%
"Vitamin B6", 0.100, MG, 8%
"Folate", 8.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.6, MG, 
"Vitamin K", 2.6, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 8.00, UG, 
"Folate, DFE", 8.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.020, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.016, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.037, G, 
"Octadecadienoic acid", 0.039, G, 
"Octadecatrienoic acid", 0.004, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.037, G, 
"Polyunsaturated fatty acids", 0.043, G, 
"Tocopherol, alpha", 0.73, MG, 
"Net carbs", 14.99, g, 
# Downloaded from https://www.nutritionvalue.org 
