charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Avocado, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 160.00, KCAL, 
"Fat", 14.66, G, 19%
"Protein", 2.00, G, 4%
"Carbohydrate", 8.53, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 73.23, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 0.66, G, 
"Fiber", 6.7, G, 24%
"Calcium, Ca", 12.00, MG, 1%
"Iron, Fe", 0.55, MG, 3%
"Magnesium, Mg", 29.00, MG, 7%
"Phosphorus, P", 52.00, MG, 7%
"Potassium, K", 485.00, MG, 10%
"Sodium, Na", 7.00, MG, 0%
"Zinc, Zn", 0.64, MG, 6%
"Copper, Cu", 0.190, MG, 21%
"Selenium, Se", 0.4, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 7.00, UG, 1%
"Carotene, beta", 62.00, UG, 
"Carotene, alpha", 24.00, UG, 
"Vitamin E", 2.07, MG, 9%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 28.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 271.00, UG, 
"Vitamin C", 10.0, MG, 11%
"Thiamin", 0.067, MG, 6%
"Riboflavin", 0.130, MG, 10%
"Niacin", 1.738, MG, 11%
"Vitamin B6", 0.257, MG, 20%
"Folate", 81.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 14.2, MG, 
"Vitamin K", 21.0, UG, 18%
"Folic acid", 0.00, UG, 
"Folate, food", 81.00, UG, 
"Folate, DFE", 81.00, UG, 20%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 2.126, G, 11%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.001, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 2.075, G, 
"Octadecanoic acid", 0.049, G, 
"Octadecenoic acid", 9.066, G, 
"Octadecadienoic acid", 1.674, G, 
"Octadecatrienoic acid", 0.125, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.698, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.025, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 9.799, G, 
"Polyunsaturated fatty acids", 1.816, G, 
"Tocopherol, alpha", 2.07, MG, 
"Net carbs", 1.83, g, 
# Downloaded from https://www.nutritionvalue.org 
