charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Date
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 282.00, KCAL, 
"Fat", 0.39, G, 0%
"Protein", 2.45, G, 5%
"Carbohydrate", 75.03, G, 27%
"Alcohol, ethyl", 0.0, G, 
"Water", 20.53, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 63.35, G, 
"Fiber", 8.0, G, 29%
"Calcium, Ca", 39.00, MG, 3%
"Iron, Fe", 1.02, MG, 6%
"Magnesium, Mg", 43.00, MG, 11%
"Phosphorus, P", 62.00, MG, 9%
"Potassium, K", 656.00, MG, 14%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.29, MG, 3%
"Copper, Cu", 0.206, MG, 23%
"Selenium, Se", 3.0, UG, 5%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 6.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.05, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 75.00, UG, 
"Vitamin C", 0.4, MG, 0%
"Thiamin", 0.052, MG, 4%
"Riboflavin", 0.066, MG, 5%
"Niacin", 1.274, MG, 8%
"Vitamin B6", 0.165, MG, 13%
"Folate", 19.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.3, MG, 
"Vitamin K", 2.7, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 19.00, UG, 
"Folate, DFE", 19.00, UG, 5%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.032, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.001, G, 
"Decanoic acid", 0.001, G, 
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.017, G, 
"Octadecanoic acid", 0.011, G, 
"Octadecenoic acid", 0.035, G, 
"Octadecadienoic acid", 0.016, G, 
"Octadecatrienoic acid", 0.003, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.036, G, 
"Polyunsaturated fatty acids", 0.019, G, 
"Tocopherol, alpha", 0.05, MG, 
"Net carbs", 67.03, g, 
# Downloaded from https://www.nutritionvalue.org 
