charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Banana, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 89.00, KCAL, 
"Fat", 0.33, G, 0%
"Protein", 1.09, G, 2%
"Carbohydrate", 22.84, G, 8%
"Alcohol, ethyl", 0.0, G, 
"Water", 74.91, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 12.23, G, 
"Fiber", 2.6, G, 9%
"Calcium, Ca", 5.00, MG, 0%
"Iron, Fe", 0.26, MG, 1%
"Magnesium, Mg", 27.00, MG, 7%
"Phosphorus, P", 22.00, MG, 3%
"Potassium, K", 358.00, MG, 8%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.15, MG, 1%
"Copper, Cu", 0.078, MG, 9%
"Selenium, Se", 1.0, UG, 2%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, beta", 26.00, UG, 
"Carotene, alpha", 25.00, UG, 
"Vitamin E", 0.10, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 22.00, UG, 
"Vitamin C", 8.7, MG, 10%
"Thiamin", 0.031, MG, 3%
"Riboflavin", 0.073, MG, 6%
"Niacin", 0.665, MG, 4%
"Vitamin B6", 0.367, MG, 28%
"Folate", 20.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 9.8, MG, 
"Vitamin K", 0.5, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 20.00, UG, 
"Folate, DFE", 20.00, UG, 5%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.112, G, 1%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.001, G, 
"Dodecanoic acid", 0.002, G, 
"Tetradecanoic acid", 0.002, G, 
"Hexadecanoic acid", 0.102, G, 
"Octadecanoic acid", 0.005, G, 
"Octadecenoic acid", 0.022, G, 
"Octadecadienoic acid", 0.046, G, 
"Octadecatrienoic acid", 0.027, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.010, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.032, G, 
"Polyunsaturated fatty acids", 0.073, G, 
"Tocopherol, alpha", 0.10, MG, 
"Net carbs", 20.24, g, 
# Downloaded from https://www.nutritionvalue.org 
