charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pear, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 57.00, KCAL, 
"Fat", 0.14, G, 0%
"Protein", 0.36, G, 1%
"Carbohydrate", 15.23, G, 6%
"Alcohol, ethyl", 0.0, G, 
"Water", 83.96, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.75, G, 
"Fiber", 3.1, G, 11%
"Calcium, Ca", 9.00, MG, 1%
"Iron, Fe", 0.18, MG, 1%
"Magnesium, Mg", 7.00, MG, 2%
"Phosphorus, P", 12.00, MG, 2%
"Potassium, K", 116.00, MG, 2%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.10, MG, 1%
"Copper, Cu", 0.082, MG, 9%
"Selenium, Se", 0.1, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 1.00, UG, 0%
"Carotene, beta", 14.00, UG, 
"Carotene, alpha", 1.00, UG, 
"Vitamin E", 0.12, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 2.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 44.00, UG, 
"Vitamin C", 4.3, MG, 5%
"Thiamin", 0.012, MG, 1%
"Riboflavin", 0.026, MG, 2%
"Niacin", 0.161, MG, 1%
"Vitamin B6", 0.029, MG, 2%
"Folate", 7.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 5.1, MG, 
"Vitamin K", 4.4, UG, 4%
"Folic acid", 0.00, UG, 
"Folate, food", 7.00, UG, 
"Folate, DFE", 7.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.022, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.017, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.081, G, 
"Octadecadienoic acid", 0.093, G, 
"Octadecatrienoic acid", 0.001, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.002, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.001, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.084, G, 
"Polyunsaturated fatty acids", 0.094, G, 
"Tocopherol, alpha", 0.12, MG, 
"Net carbs", 12.13, g, 
# Downloaded from https://www.nutritionvalue.org 
