charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Raisins
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 299.00, KCAL, 
"Fat", 0.25, G, 0%
"Protein", 3.30, G, 7%
"Carbohydrate", 79.32, G, 29%
"Alcohol, ethyl", 0.0, G, 
"Water", 15.46, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 65.18, G, 
"Fiber", 4.5, G, 16%
"Calcium, Ca", 62.00, MG, 5%
"Iron, Fe", 1.79, MG, 10%
"Magnesium, Mg", 36.00, MG, 9%
"Phosphorus, P", 98.00, MG, 14%
"Potassium, K", 744.00, MG, 16%
"Sodium, Na", 26.00, MG, 1%
"Zinc, Zn", 0.36, MG, 3%
"Copper, Cu", 0.272, MG, 30%
"Selenium, Se", 0.6, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.12, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 2.3, MG, 3%
"Thiamin", 0.106, MG, 9%
"Riboflavin", 0.125, MG, 10%
"Niacin", 0.766, MG, 5%
"Vitamin B6", 0.174, MG, 13%
"Folate", 5.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 11.1, MG, 
"Vitamin K", 3.5, UG, 3%
"Folic acid", 0.00, UG, 
"Folate, food", 5.00, UG, 
"Folate, DFE", 5.00, UG, 1%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.094, G, 0%
"Butanoic acid", 0.007, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.001, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.004, G, 
"Hexadecanoic acid", 0.056, G, 
"Octadecanoic acid", 0.013, G, 
"Octadecenoic acid", 0.023, G, 
"Octadecadienoic acid", 0.039, G, 
"Octadecatrienoic acid", 0.014, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.024, G, 
"Polyunsaturated fatty acids", 0.053, G, 
"Tocopherol, alpha", 0.12, MG, 
"Net carbs", 74.82, g, 
# Downloaded from https://www.nutritionvalue.org 
