charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pineapple, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 50.00, KCAL, 
"Fat", 0.12, G, 0%
"Protein", 0.54, G, 1%
"Carbohydrate", 13.12, G, 5%
"Alcohol, ethyl", 0.0, G, 
"Water", 86.00, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.85, G, 
"Fiber", 1.4, G, 5%
"Calcium, Ca", 13.00, MG, 1%
"Iron, Fe", 0.29, MG, 2%
"Magnesium, Mg", 12.00, MG, 3%
"Phosphorus, P", 8.00, MG, 1%
"Potassium, K", 109.00, MG, 2%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.12, MG, 1%
"Copper, Cu", 0.110, MG, 12%
"Selenium, Se", 0.1, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, beta", 35.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.02, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 47.8, MG, 53%
"Thiamin", 0.079, MG, 7%
"Riboflavin", 0.032, MG, 2%
"Niacin", 0.500, MG, 3%
"Vitamin B6", 0.112, MG, 9%
"Folate", 18.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 5.5, MG, 
"Vitamin K", 0.7, UG, 1%
"Folic acid", 0.00, UG, 
"Folate, food", 18.00, UG, 
"Folate, DFE", 18.00, UG, 4%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.009, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.005, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.012, G, 
"Octadecadienoic acid", 0.023, G, 
"Octadecatrienoic acid", 0.017, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.013, G, 
"Polyunsaturated fatty acids", 0.040, G, 
"Tocopherol, alpha", 0.02, MG, 
"Net carbs", 11.72, g, 
# Downloaded from https://www.nutritionvalue.org 
