charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Kiwi fruit, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 58.00, KCAL, 
"Fat", 0.44, G, 1%
"Protein", 1.06, G, 2%
"Carbohydrate", 14.00, G, 5%
"Alcohol, ethyl", 0.0, G, 
"Water", 83.90, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 8.99, G, 
"Fiber", 3.0, G, 11%
"Calcium, Ca", 35.00, MG, 3%
"Iron, Fe", 0.24, MG, 1%
"Magnesium, Mg", 16.00, MG, 4%
"Phosphorus, P", 34.00, MG, 5%
"Potassium, K", 198.00, MG, 4%
"Sodium, Na", 5.00, MG, 0%
"Zinc, Zn", 0.14, MG, 1%
"Copper, Cu", 0.134, MG, 15%
"Selenium, Se", 0.2, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 4.00, UG, 0%
"Carotene, beta", 52.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 1.30, MG, 6%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 122.00, UG, 
"Vitamin C", 74.7, MG, 83%
"Thiamin", 0.027, MG, 2%
"Riboflavin", 0.025, MG, 2%
"Niacin", 0.370, MG, 2%
"Vitamin B6", 0.061, MG, 5%
"Folate", 26.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.8, MG, 
"Vitamin K", 40.3, UG, 34%
"Folic acid", 0.00, UG, 
"Folate, food", 26.00, UG, 
"Folate, DFE", 26.00, UG, 6%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.029, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.017, G, 
"Octadecanoic acid", 0.012, G, 
"Octadecenoic acid", 0.047, G, 
"Octadecadienoic acid", 0.246, G, 
"Octadecatrienoic acid", 0.042, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.047, G, 
"Polyunsaturated fatty acids", 0.287, G, 
"Tocopherol, alpha", 1.30, MG, 
"Net carbs", 11, g, 
# Downloaded from https://www.nutritionvalue.org 
