charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pepper, raw, hot chili
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 34.00, KCAL, 
"Fat", 0.40, G, 1%
"Protein", 1.39, G, 3%
"Carbohydrate", 7.66, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 89.86, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 4.71, G, 
"Fiber", 2.2, G, 8%
"Calcium, Ca", 13.00, MG, 1%
"Iron, Fe", 0.64, MG, 4%
"Magnesium, Mg", 19.00, MG, 5%
"Phosphorus, P", 34.00, MG, 5%
"Potassium, K", 285.00, MG, 6%
"Sodium, Na", 6.00, MG, 0%
"Zinc, Zn", 0.20, MG, 2%
"Copper, Cu", 0.088, MG, 10%
"Selenium, Se", 0.4, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 51.00, UG, 6%
"Carotene, beta", 548.00, UG, 
"Carotene, alpha", 52.00, UG, 
"Vitamin E", 2.13, MG, 9%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 72.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 785.00, UG, 
"Vitamin C", 131.2, MG, 146%
"Thiamin", 0.056, MG, 5%
"Riboflavin", 0.078, MG, 6%
"Niacin", 1.262, MG, 8%
"Vitamin B6", 0.463, MG, 36%
"Folate", 25.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 9.2, MG, 
"Vitamin K", 16.2, UG, 14%
"Folic acid", 0.00, UG, 
"Folate, food", 25.00, UG, 
"Folate, DFE", 25.00, UG, 6%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.067, G, 0%
"Butanoic acid", 0.002, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.001, G, 
"Dodecanoic acid", 0.002, G, 
"Tetradecanoic acid", 0.005, G, 
"Hexadecanoic acid", 0.042, G, 
"Octadecanoic acid", 0.012, G, 
"Octadecenoic acid", 0.024, G, 
"Octadecadienoic acid", 0.145, G, 
"Octadecatrienoic acid", 0.030, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.002, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.027, G, 
"Polyunsaturated fatty acids", 0.176, G, 
"Tocopherol, alpha", 2.13, MG, 
"Net carbs", 5.46, g, 
# Downloaded from https://www.nutritionvalue.org 
