charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Kumquat, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 71.00, KCAL, 
"Fat", 0.86, G, 1%
"Protein", 1.88, G, 4%
"Carbohydrate", 15.90, G, 6%
"Alcohol, ethyl", 0.0, G, 
"Water", 80.85, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.36, G, 
"Fiber", 6.5, G, 23%
"Calcium, Ca", 62.00, MG, 5%
"Iron, Fe", 0.86, MG, 5%
"Magnesium, Mg", 20.00, MG, 5%
"Phosphorus, P", 19.00, MG, 3%
"Potassium, K", 186.00, MG, 4%
"Sodium, Na", 10.00, MG, 0%
"Zinc, Zn", 0.17, MG, 2%
"Copper, Cu", 0.095, MG, 11%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 15.00, UG, 2%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 155.00, UG, 
"Vitamin E", 0.15, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 193.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 129.00, UG, 
"Vitamin C", 43.9, MG, 49%
"Thiamin", 0.037, MG, 3%
"Riboflavin", 0.090, MG, 7%
"Niacin", 0.429, MG, 3%
"Vitamin B6", 0.036, MG, 3%
"Folate", 17.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 8.4, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 17.00, UG, 
"Folate, DFE", 17.00, UG, 4%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.103, G, 1%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.004, G, 
"Hexadecanoic acid", 0.090, G, 
"Octadecanoic acid", 0.004, G, 
"Octadecenoic acid", 0.137, G, 
"Octadecadienoic acid", 0.124, G, 
"Octadecatrienoic acid", 0.047, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.021, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.154, G, 
"Polyunsaturated fatty acids", 0.171, G, 
"Tocopherol, alpha", 0.15, MG, 
"Net carbs", 9.4, g, 
# Downloaded from https://www.nutritionvalue.org 
