charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Orange, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 47.00, KCAL, 
"Fat", 0.12, G, 0%
"Protein", 0.94, G, 2%
"Carbohydrate", 11.75, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 86.75, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.35, G, 
"Fiber", 2.4, G, 9%
"Calcium, Ca", 40.00, MG, 3%
"Iron, Fe", 0.10, MG, 1%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 14.00, MG, 2%
"Potassium, K", 181.00, MG, 4%
"Sodium, Na", 0.00, MG, 0%
"Zinc, Zn", 0.07, MG, 1%
"Copper, Cu", 0.045, MG, 5%
"Selenium, Se", 0.5, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 11.00, UG, 1%
"Carotene, beta", 71.00, UG, 
"Carotene, alpha", 11.00, UG, 
"Vitamin E", 0.18, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 116.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 129.00, UG, 
"Vitamin C", 53.2, MG, 59%
"Thiamin", 0.087, MG, 7%
"Riboflavin", 0.040, MG, 3%
"Niacin", 0.282, MG, 2%
"Vitamin B6", 0.060, MG, 5%
"Folate", 30.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 8.4, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 30.00, UG, 
"Folate, DFE", 30.00, UG, 8%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.015, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.013, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.020, G, 
"Octadecadienoic acid", 0.018, G, 
"Octadecatrienoic acid", 0.007, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.003, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.023, G, 
"Polyunsaturated fatty acids", 0.025, G, 
"Tocopherol, alpha", 0.18, MG, 
"Net carbs", 9.35, g, 
# Downloaded from https://www.nutritionvalue.org 
