charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Apple, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 52.00, KCAL, 
"Fat", 0.17, G, 0%
"Protein", 0.26, G, 1%
"Carbohydrate", 13.81, G, 5%
"Alcohol, ethyl", 0.0, G, 
"Water", 85.56, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 10.39, G, 
"Fiber", 2.4, G, 9%
"Calcium, Ca", 6.00, MG, 0%
"Iron, Fe", 0.12, MG, 1%
"Magnesium, Mg", 5.00, MG, 1%
"Phosphorus, P", 11.00, MG, 2%
"Potassium, K", 107.00, MG, 2%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.04, MG, 0%
"Copper, Cu", 0.027, MG, 3%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, beta", 27.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.18, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 11.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 29.00, UG, 
"Vitamin C", 4.6, MG, 5%
"Thiamin", 0.017, MG, 1%
"Riboflavin", 0.026, MG, 2%
"Niacin", 0.091, MG, 1%
"Vitamin B6", 0.041, MG, 3%
"Folate", 3.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 3.4, MG, 
"Vitamin K", 2.2, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 3.00, UG, 
"Folate, DFE", 3.00, UG, 1%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.028, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.024, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.007, G, 
"Octadecadienoic acid", 0.043, G, 
"Octadecatrienoic acid", 0.009, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.007, G, 
"Polyunsaturated fatty acids", 0.051, G, 
"Tocopherol, alpha", 0.18, MG, 
"Net carbs", 11.41, g, 
# Downloaded from https://www.nutritionvalue.org 
